time,New graph 0,New graph 1,New graph 2,New graph 3,New graph 4,New graph 5,New graph 6,New graph 7,New graph 8,New graph 9
0,0.063704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.096005,0.492587,9.823030,0.012354,0.002418,0.006808,-6.813160,-6.813160,-0.763509,1.848419
2,0.067293,0.200085,9.774578,0.001701,-0.019954,0.007873,-6.811690,-6.811690,-0.766248,1.847813
3,0.103183,0.360692,9.780859,-0.002560,-0.003974,-0.001714,-6.813124,-6.813124,-0.769398,1.848212
4,0.138176,0.201880,9.781756,-0.004691,0.006679,-0.005976,-6.816458,-6.816458,-0.767053,1.847054
5,0.113950,0.320316,9.859817,0.002766,0.005614,0.015330,-6.816636,-6.816636,-0.768778,1.845242
6,0.124717,0.304166,9.775476,0.010223,0.020528,0.000416,-6.814800,-6.814800,-0.765121,1.847740
7,0.054732,0.296988,9.784448,0.004897,0.004548,-0.001714,-6.814559,-6.814559,-0.764911,1.846967
8,0.072677,0.292502,9.773681,0.007027,-0.011431,0.001481,-6.816342,-6.816342,-0.766577,1.847825
9,0.105875,0.351720,9.794317,0.004897,-0.011431,0.001481,-6.815988,-6.815988,-0.770218,1.847288
10,0.105875,0.312241,9.828413,-0.014279,0.009875,-0.012367,-6.817651,-6.817651,-0.768539,1.843826
11,0.143559,0.234181,9.876864,-0.004691,0.001352,-0.008106,-6.817886,-6.817886,-0.767791,1.842672
12,0.145354,0.252126,9.833797,0.001701,0.007744,0.003612,-6.815940,-6.815940,-0.768663,1.845371
13,0.176757,0.348131,9.840077,0.014484,-0.021019,0.016396,-6.812412,-6.812412,-0.772023,1.849004
14,0.152532,0.340056,9.796112,0.017680,0.012005,0.027049,-6.808268,-6.808268,-0.771789,1.851118
15,0.141765,0.305063,9.830208,0.002766,-0.007170,0.001481,-6.811281,-6.811281,-0.770735,1.850808
16,0.148943,0.309549,9.714463,0.014484,-0.006105,0.002547,-6.811343,-6.811343,-0.772592,1.854310
17,0.233283,0.367870,9.791626,0.011288,-0.009301,0.007873,-6.808216,-6.808216,-0.774232,1.851492
18,0.210852,0.331980,9.832002,-0.007887,0.010940,-0.009171,-6.808735,-6.808735,-0.775755,1.854020
19,0.147148,0.193805,9.832002,0.003831,-0.005039,0.008939,-6.809412,-6.809412,-0.774627,1.853144
20,0.088827,0.233283,9.802393,-0.008952,-0.010366,-0.010237,-6.808115,-6.808115,-0.774538,1.853380
21,0.041273,0.216236,9.817646,-0.016409,0.004548,0.014265,-6.806826,-6.806826,-0.771511,1.855934
22,0.117539,0.297885,9.748558,0.018746,-0.000778,0.003612,-6.804886,-6.804886,-0.771478,1.860437
23,0.155223,0.315830,9.760222,0.010223,0.015201,0.008939,-6.804324,-6.804324,-0.772596,1.860247
24,0.104978,0.373254,9.816749,0.018746,-0.000778,-0.002780,-6.804379,-6.804379,-0.773054,1.862945
25,0.134587,0.320316,9.800598,0.002766,-0.016758,0.015330,-6.804413,-6.804413,-0.774544,1.863728
26,0.102286,0.279940,9.736894,0.013419,0.001352,-0.012367,-6.804345,-6.804345,-0.775555,1.867084
27,0.133689,0.308652,9.763811,0.015550,0.006679,0.016396,-6.801286,-6.801286,-0.778008,1.868415
28,0.131895,0.337364,9.712668,-0.014279,-0.013562,-0.000649,-6.803061,-6.803061,-0.779984,1.869459
29,0.119333,0.337364,9.788037,0.001701,-0.013562,-0.004910,-6.803099,-6.803099,-0.784224,1.867222
30,0.088827,0.327494,9.821235,0.023007,0.001352,0.012134,-6.800557,-6.800557,-0.784137,1.867388
31,0.102286,0.376843,9.746764,0.005962,0.022658,0.006808,-6.802145,-6.802145,-0.779833,1.868161
32,0.145354,0.321213,9.786242,0.005962,-0.007170,-0.016629,-6.801705,-6.801705,-0.781086,1.865528
33,0.168682,0.309549,9.800598,-0.005756,-0.002909,0.011069,-6.799863,-6.799863,-0.780082,1.864171
34,0.115745,0.338261,9.766503,0.004897,0.019462,-0.019824,-6.800936,-6.800936,-0.779796,1.866210
35,0.095108,0.349925,9.773681,0.011288,-0.016758,0.002547,-6.801816,-6.801816,-0.780243,1.865292
36,0.111258,0.335569,9.763811,-0.003626,-0.000778,-0.013433,-6.803002,-6.803002,-0.782632,1.865496
37,0.131895,0.257509,9.781756,0.002766,-0.007170,-0.010237,-6.804132,-6.804132,-0.783504,1.865803
38,0.090622,0.290707,9.812263,-0.016409,0.019462,0.003612,-6.805064,-6.805064,-0.785339,1.865672
39,0.102286,0.326597,9.828413,0.003831,-0.009301,-0.011302,-6.805788,-6.805788,-0.785108,1.865208
40,0.152532,0.342747,9.785345,-0.001495,0.007744,0.001481,-6.808993,-6.808993,-0.786903,1.863392
41,0.146251,0.333775,9.844563,-0.001495,-0.011431,0.016396,-6.806698,-6.806698,-0.787065,1.863926
42,0.163298,0.322111,9.763811,-0.014279,-0.009301,-0.018759,-6.809343,-6.809343,-0.785315,1.864366
43,0.122025,0.288913,9.768297,0.020876,-0.018888,0.017461,-6.805690,-6.805690,-0.784878,1.865081
44,0.103183,0.329289,9.829310,-0.003626,0.009875,0.013200,-6.808561,-6.808561,-0.783249,1.866239
45,0.138176,0.299680,9.756634,0.003831,-0.018888,-0.009171,-6.811168,-6.811168,-0.784506,1.866802
46,0.157018,0.318522,9.814955,0.007027,-0.002909,0.008939,-6.808321,-6.808321,-0.782711,1.866465
47,0.110361,0.280837,9.846358,0.001701,-0.003974,0.011069,-6.810405,-6.810405,-0.783029,1.867852
48,0.165093,0.330186,9.810468,-0.000430,-0.000778,0.006808,-6.811899,-6.811899,-0.783461,1.866922
49,0.244050,0.352617,9.615767,0.001701,0.001352,0.005743,-6.812657,-6.812657,-0.784428,1.866319
50,0.128306,0.370562,9.801496,0.009158,-0.007170,-0.007041,-6.812133,-6.812133,-0.783184,1.865817
51,0.174065,0.395685,9.710874,0.013419,-0.006105,0.006808,-6.811532,-6.811532,-0.783069,1.866794
52,0.143559,0.386712,9.737791,0.015550,-0.013562,0.022787,-6.808915,-6.808915,-0.785122,1.867274
53,0.119333,0.305063,9.768297,0.004897,-0.008235,0.011069,-6.809540,-6.809540,-0.784576,1.867259
54,0.200983,0.395685,9.778168,0.033660,-0.012497,-0.003845,-6.810053,-6.810053,-0.784610,1.869581
55,0.137278,0.364281,9.741381,-0.001495,-0.007170,0.012134,-6.809237,-6.809237,-0.786073,1.868330
56,0.147148,0.377740,9.735100,-0.017475,0.013071,-0.001714,-6.811189,-6.811189,-0.785634,1.867743
57,0.165990,0.372356,9.842769,-0.003626,0.005614,0.006808,-6.809930,-6.809930,-0.786919,1.869706
